# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_0270.dat GLPlanet 2460947.911 0.241189 11.595 0.004028 -0.25975 -2.03078 2.71792 39.46268 0.000 14.877
WFIRST_1213.dat GLPlanet 2460951.130 0.430355 22.011 0.003432 -0.14508 -2.66729 2.62018 28.96246 0.000 11.835
WFIRST_1016.dat GLPlanet 2460954.119 0.097421 28.905 0.006340 -0.13659 -2.94461 0.03583 73.76067 0.000 -18.395
WFIRST_0055.dat GLPlanet 2460956.076 0.046872 27.320 0.005060 -0.22539 -2.54141 0.18450 58.79217 0.000 -29.920
WFIRST_0057.dat GLPlanet 2460966.226 0.247393 30.206 0.008897 -0.12307 -2.71410 0.60003 97.42051 0.000 -15.908
WFIRST_1098.dat GLPlanet 2460964.972 0.490893 60.012 0.007904 -0.11924 -2.33580 1.27667 1935.21890 0.000 -17.850
WFIRST_1883.dat GLPlanet 2460950.175 0.459630 23.893 0.001830 -0.23852 -2.59499 0.53603 1714.62894 0.000 -25.561
WFIRST_0955.dat GLPlanet 2460947.484 0.352232 27.390 0.009115 -0.14386 -2.34371 0.75636 43.11265 0.000 -16.304
WFIRST_0706.dat GLPlanet 2460959.328 0.139961 43.240 0.003029 -0.10255 -2.35337 2.58393 261.15937 0.000 20.516
WFIRST_0202.dat GLPlanet 2460948.340 0.083667 14.161 0.008013 -0.18210 -2.21298 -3.00975 1952.76137 0.000 12.491
WFIRST_2274.dat GLPlanet 2460961.145 0.130047 36.515 0.001726 -0.12408 -2.78439 2.76984 291.57475 0.000 20.849
WFIRST_1350.dat GLPlanet 2460955.800 0.268062 43.173 0.004373 -0.11893 -2.22572 2.37568 335.89297 0.000 22.088
WFIRST_1873.dat GLPlanet 2460953.036 0.205160 25.323 0.004016 -0.23187 -2.52725 0.32476 158.14752 0.000 -28.158
WFIRST_1717.dat GLPlanet 2460963.097 0.218879 26.821 0.009082 -0.14706 -2.18638 2.56921 591.97724 0.000 18.241
WFIRST_0828.dat NCPlanet 2460949.978 0.287915 33.384 0.001554 -0.10762 -2.00544 2.20242 43.78639 0.000 15.279
WFIRST_1862.dat NCPlanet 2460949.164 0.441895 22.655 0.001370 -0.20767 -2.42899 0.61883 3205.55659 0.000 -20.528
WFIRST_1886.dat NCPlanet 2460952.210 0.280059 25.292 0.005023 -0.17394 -2.76044 2.68169 1080.05701 0.000 19.804
WFIRST_1693.dat NCPlanet 2460957.631 0.310157 9.172 0.009996 -0.25999 -2.64836 2.79025 833.61103 0.000 11.415
WFIRST_0011.dat NCPlanet 2460949.206 0.456679 55.525 0.008920 -0.11596 -2.19197 1.94186 5747.49036 0.000 19.483
WFIRST_0184.dat HMPlanet 2460969.572 0.000874 78.567 0.000338 -0.12582 -2.75868 -1.51305 135.30345 0.000 0.000
WFIRST_0833.dat HMPlanet 2460960.396 0.000814 52.876 0.001875 -0.24068 -2.46308 1.16724 2059.05066 0.000 0.000
WFIRST_0199.dat HMPlanet 2460958.754 0.000093 65.310 0.002838 -0.12974 -2.30612 -2.75923 108.79613 0.000 0.000
WFIRST_0104.dat HMPlanet 2460966.358 0.000013 41.840 0.005148 -0.20850 -2.36504 -2.38538 23.25707 0.000 0.000
WFIRST_0671.dat HMPlanet 2460950.702 0.000106 90.119 0.000169 -0.18637 -2.15571 2.04638 3479.87607 0.000 0.000
