2455706.66051 19.063 0.091 7.79 425.0
2455707.60458 19.128 0.074 5.81 474.0
2455707.77798 19.125 0.067 5.01 498.0
2455708.57738 18.906 0.085 7.67 631.0
2455708.77151 19.071 0.065 5.79 407.0
2455709.61385 18.855 0.057 6.66 410.0
2455709.62651 19.012 0.063 5.94 405.0
2455712.67182 18.877 0.053 5.41 459.0
2455712.68442 19.057 0.058 5.12 453.0
2455712.84553 19.039 0.061 5.49 465.0
2455713.86145 19.262 0.079 6.13 445.0
2455715.62142 18.992 0.050 4.67 411.0
2455715.80642 19.079 0.050 4.35 388.0
2455716.69208 19.054 0.061 5.76 377.0
2455716.86902 19.032 0.069 6.15 435.0
2455721.78100 19.241 0.063 4.53 438.0
2455722.59222 19.036 0.053 4.09 525.0
2455722.80648 19.011 0.054 4.38 525.0
2455723.68532 18.985 0.060 5.60 449.0
2455723.84308 19.076 0.056 4.83 445.0
2455724.72502 19.036 0.064 5.18 499.0
2455725.63328 19.081 0.066 5.06 581.0
2455726.54970 19.332 0.121 5.91 966.0
2455734.70665 19.139 0.088 6.94 540.0
2455734.89047 18.848 0.085 7.72 652.0
2455735.83892 19.087 0.068 5.25 526.0
2455736.57962 19.016 0.056 4.63 486.0
2455736.78865 19.070 0.051 4.22 418.0
2455737.57750 19.131 0.057 4.67 426.0
2455737.76646 19.037 0.051 4.49 371.0
2455738.60577 19.041 0.070 6.46 395.0
2455739.69032 19.069 0.061 5.31 351.0
2455739.86424 19.021 0.074 6.22 506.0
2455740.84980 19.190 0.085 6.19 524.0
2455741.61983 19.054 0.057 4.83 369.0
2455741.79908 19.195 0.057 3.94 403.0
2455742.55190 19.023 0.060 4.42 591.0
2455742.73235 19.149 0.054 4.09 383.0
2455743.60438 18.989 0.070 6.06 493.0
2455743.78155 19.165 0.074 5.50 455.0
2455744.53928 19.316 0.098 6.07 518.0
2455744.75166 19.044 0.059 5.48 376.0
2455745.52879 18.867 0.067 6.76 456.0
2455745.71484 19.027 0.057 5.14 414.0
2455746.54554 18.927 0.065 6.94 630.0
2455746.74291 18.938 0.058 5.79 388.0
2455747.63219 19.060 0.076 6.83 405.0
2455748.60784 19.062 0.067 5.37 510.0
2455749.57898 19.215 0.079 6.33 416.0
2455749.74593 19.235 0.082 6.17 396.0
2455752.63900 19.116 0.078 5.46 550.0
2455753.78874 19.178 0.098 6.17 908.0
2455759.84013 19.143 0.107 6.34 928.0
2455760.51863 19.152 0.092 6.99 522.0
2455760.72619 19.384 0.091 5.36 572.0
2455762.57839 19.056 0.075 6.36 453.0
2455762.73475 19.228 0.084 5.60 493.0
2455763.80025 19.160 0.097 6.64 613.0
2455764.62875 19.032 0.049 4.36 383.0
2455765.49821 19.068 0.064 5.11 533.0
2455765.69350 18.860 0.052 5.08 471.0
2455766.56447 18.898 0.056 5.87 385.0
2455766.73990 18.792 0.052 6.30 379.0
2455767.63520 18.987 0.064 6.09 449.0
2455768.48959 19.046 0.062 5.51 450.0
2455768.68143 19.094 0.047 4.10 386.0
2455769.51324 18.888 0.054 5.60 449.0
2455769.72707 19.078 0.062 5.31 419.0
2455775.59649 19.062 0.073 6.60 378.0
2455776.65015 19.035 0.065 6.00 374.0
2455777.57821 19.096 0.066 5.87 421.0
2455778.50637 19.046 0.082 6.38 528.0
2455779.64514 19.079 0.055 4.58 411.0
2455783.56734 18.888 0.093 4.71 2145.0
2455784.59134 19.077 0.065 4.38 683.0
2455785.67072 19.045 0.076 5.51 726.0
2455786.61639 19.117 0.074 4.74 629.0
2455787.65076 19.186 0.068 4.54 621.0
2455788.57183 19.217 0.082 5.64 526.0
2455788.73470 18.969 0.095 7.59 725.0
2455790.63010 19.027 0.074 6.45 467.0
2455791.52757 19.033 0.068 5.49 446.0
2455793.48271 19.290 0.100 6.77 462.0
2455793.54821 19.075 0.056 4.85 399.0
2455793.60289 19.071 0.066 5.82 403.0
2455793.63882 19.238 0.078 5.80 414.0
2455793.69601 19.148 0.081 6.26 474.0
2455793.73036 19.101 0.086 6.74 509.0
2455794.48567 18.956 0.070 6.50 431.0
2455794.53988 18.992 0.060 5.51 382.0
2455794.63591 19.044 0.059 5.06 414.0
2455795.53036 19.122 0.083 6.76 411.0
2455796.50366 19.035 0.059 5.38 445.0
2455796.69562 18.934 0.066 6.22 490.0
2455801.61212 18.991 0.066 6.26 389.0
2455802.64489 18.847 0.071 7.23 421.0
2455804.59789 19.080 0.057 4.82 390.0
2455805.55963 19.061 0.048 4.10 375.0
2455806.55677 18.986 0.080 6.63 506.0
2455812.50025 19.064 0.094 6.32 700.0
2455812.65944 19.121 0.127 6.63 1108.0
2455813.64111 19.032 0.055 4.08 685.0
2455815.61881 19.105 0.056 3.74 662.0
2455816.59033 19.141 0.076 5.25 638.0
2455817.59219 18.964 0.063 5.19 591.0
2455818.57243 19.215 0.083 5.62 572.0
