 19935  322.50 2465.58 20.965  3.402 17.563   6   1 0.085  152   1 0.017
 19936  416.12 2466.66 21.118  3.418 17.700   7   0 0.070  152   1 0.018
 19937  359.12 2473.30 20.906  2.732 18.174   7   0 0.124  152   1 0.028
 19942  279.78 2487.98 20.101  2.650 17.451   7   0 0.045  153   0 0.016
 19946  211.50 2491.63 21.532  3.379 18.152   7   0 0.194  150   0 0.031
 19951  443.95 2504.52 20.844  3.441 17.403   6   0 0.150  153   0 0.017
 19952  400.22 2507.07 21.057  3.275 17.782   6   1 0.080  152   1 0.019
 19954  188.75 2512.77 20.731  3.358 17.373   7   0 0.018  147   1 0.015
 19955  568.00 2515.62 21.311  3.391 17.920   6   1 0.075  153   0 0.022
 19962  508.17 2526.94 21.591  3.526 18.065   6   0 0.064  151   2 0.025
 19964  266.73 2542.34 19.751  2.322 17.430   7   0 0.029  153   0 0.016
 19967  292.69 2545.11 20.914  3.288 17.626   7   0 0.079  153   0 0.019
 19968  358.40 2545.11 21.119  3.459 17.661   7   0 0.065  153   0 0.018
 19969  552.31 2545.23 20.994  3.567 17.427   7   0 0.104  153   0 0.016
 19970  215.19 2546.97 20.886  3.369 17.517   6   0 0.071  151   0 0.019
 19972  294.16 2548.91 20.711  3.297 17.414   6   1 0.050  153   0 0.018
 19981  376.49 2573.53 21.206  3.446 17.760   7   0 0.157  153   0 0.020
 19984  261.50 2578.49 20.979  3.179 17.800   6   1 0.050  153   0 0.022
 19985  436.56 2579.64 21.016  3.496 17.519   7   0 0.169  153   0 0.017
 19986  196.70 2581.98 20.638  3.113 17.526   7   0 0.061  148   1 0.015
 19988  471.70 2585.50 21.098  3.682 17.416   7   0 0.103  153   0 0.016
 19992  201.99 2599.13 21.340  3.147 18.193   7   0 0.118  148   1 0.026
 19993  427.50 2601.96 20.518  3.160 17.358   7   0 0.041  153   0 0.013
 19994  593.40 2602.61 20.890  3.342 17.548   7   0 0.096  152   1 0.022
 19996  305.57 2606.52 21.438  3.457 17.981   6   0 0.054  153   0 0.026
 19997  408.59 2608.21 21.122  3.450 17.672   6   0 0.053  153   0 0.021
 19999  597.76 2615.52 21.038  3.232 17.807   7   0 0.081  153   0 0.022
 20006  365.80 2618.89 21.293  3.260 18.033   7   0 0.136  153   0 0.024
 20007  494.81 2621.20 21.358  3.601 17.758   6   0 0.079  153   0 0.021
 20009  373.47 2626.04 21.153  3.094 18.059   7   0 0.047  153   0 0.029
 20012  182.12 2631.88 20.361  2.612 17.749   7   0 0.048  147   1 0.019
 20015  409.95 2639.40 20.853  3.311 17.543   7   0 0.059  152   1 0.015
 20017  523.78 2644.17 20.980  3.192 17.788   7   0 0.103  153   0 0.022
 20022  292.71 2655.99 21.176  3.360 17.816   7   0 0.067  152   1 0.022
 20023  498.22 2655.51 21.377  3.576 17.801   7   0 0.098  153   0 0.024
 20028  174.15 2672.40 20.829  3.175 17.654   7   0 0.060  144   1 0.022
 20031  202.25 2677.79 20.442  2.983 17.459   7   0 0.102  148   1 0.017
 20034  192.78 2685.20 20.574  2.506 18.069   7   0 0.052  148   0 0.024
 20036  224.40 2688.70 21.001  3.073 17.928   7   0 0.200  151   0 0.024
 20038  299.64 2698.54 20.869  3.331 17.538   7   0 0.046  152   1 0.018
 20040  583.95 2699.85 21.365  3.251 18.114   6   0 0.137  153   0 0.025
 20048  343.98 2715.45 20.268  2.520 17.748   7   0 0.061  153   0 0.021
 20050  551.01 2729.42 20.845  3.546 17.299   6   0 0.060  152   1 0.015
 20052  253.21 2731.61 21.193  3.507 17.686   7   0 0.062  153   0 0.018
 20053  474.39 2731.85 21.202  3.294 17.908   7   0 0.151  153   0 0.023
 20054  412.52 2734.53 20.966  3.496 17.471   7   0 0.058  153   0 0.018
 20055  464.98 2734.31 20.948  3.405 17.543   6   1 0.033  153   0 0.016
 20057  475.19 2737.77 20.943  3.482 17.462   7   0 0.074  152   1 0.016
 20058  558.17 2738.45 21.275  3.381 17.894   7   0 0.070  153   0 0.024
 20060  584.39 2745.19 20.671  3.388 17.283   7   0 0.104  153   0 0.016
 20062  600.05 2747.96 20.884  3.322 17.563   7   0 0.063  153   0 0.016
 20063  479.65 2748.99 20.942  3.246 17.696   7   0 0.073  153   0 0.022
 20064  335.27 2752.99 21.447  3.384 18.063   5   0 0.061  151   2 0.024
 20066  415.73 2758.06 20.617  3.127 17.490   7   0 0.059  151   2 0.016
 20069  320.69 2761.13 20.645  3.136 17.509   7   0 0.060  153   0 0.019
 20074  272.86 2774.55 20.472  3.113 17.359   7   0 0.045  153   0 0.017
 20076  211.45 2776.15 20.755  3.244 17.512   7   0 0.040  150   0 0.017
