  1755   99.66  547.72 22.469  4.071 18.398   5   0 0.533  152   2 0.046
  1759  170.14  550.22 22.034  3.954 18.080   8   0 0.304  244   1 0.032
  1763   82.36  554.31 22.112  9.999 99.999   5   1 0.150    0   0 9.999
  1764   90.92  549.91 21.376  2.538 18.838   5   1 0.102  135   2 0.088
  1765  147.39  550.83 99.999  9.999 18.127   0   0 9.999  232   0 0.031
  1767  218.76  552.67 20.042  2.007 18.034   8   0 0.064  257   0 0.031
  1771  270.29  555.90 21.902  3.922 17.980   8   0 0.390  258   0 0.104
  1773  309.09  555.94 21.950  3.915 18.034   7   1 0.084  258   1 0.031
  1775  322.12  559.56 21.733  3.444 18.289   8   0 0.113  259   0 0.040
  2330  289.57  210.08 99.999  9.999 19.234   0   0 9.999  207   1 0.083
  2333  183.39  234.59 99.999  9.999 19.149   0   0 9.999  227   2 0.089
  2337  104.54  298.43 99.999  9.999 19.777   0   0 9.999  163   0 0.140
  2338  213.38  306.61 99.999  9.999 20.106   0   0 9.999  252   0 0.192
  2340  102.97  317.43 99.999  9.999 19.829   0   0 9.999  166   0 0.140
  2347  300.46  493.70 20.911  2.391 18.520   8   0 0.080  257   1 0.051
  2349  134.35  528.42 99.999  9.999 18.710   0   0 9.999  219   0 0.060
  2386  155.47  162.60 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2387  170.75  163.05 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2388  182.13  161.62 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2389  231.48  163.30 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2396  198.82  168.43 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2402  188.86  170.43 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2403  230.97  170.19 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2405  131.77  173.83 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2406  294.42  172.36 22.466  9.999 99.999   4   0 0.403    0   0 9.999
  2417  125.91  174.28 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2427  135.18  176.73 99.999  9.999 20.668   0   0 9.999   29   0 0.912
  2428  225.03  181.93 99.999  9.999 19.564   0   0 9.999  135   0 0.121
  2430  156.52  181.87 99.999  9.999 19.358   0   0 9.999  121   0 0.111
  2448  223.62  188.47 99.999  9.999 19.415   0   0 9.999  159   1 0.111
  2449  250.71  189.21 99.999  9.999 19.219   0   0 9.999  160   0 0.094
  2451  192.54  191.24 99.999  9.999 18.928   0   0 9.999  158   1 0.093
  2453  305.19  191.18 21.987  2.326 19.661   5   1 0.218  163   0 0.170
  2457  326.29  195.89 21.898  3.079 18.820   5   0 0.198  178   1 0.064
  2458  175.78  192.49 99.999  9.999 20.463   0   0 9.999  150   0 0.330
  2459  201.20  194.55 99.999  9.999 19.175   0   0 9.999  170   0 0.086
  2463  207.17  197.06 22.264  3.170 19.094   6   0 0.128  177   0 0.084
  2466  296.79  197.93 99.999  9.999 19.077   2   0 9.999  183   0 0.075
  2476  115.12  205.75 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2479  242.41  206.16 99.999  9.999 19.382   0   0 9.999  201   2 0.084
  2481  127.69  205.99 99.999  9.999 99.999   0   0 9.999    0   0 9.999
  2485  256.27  210.66 99.999  9.999 19.061   0   0 9.999  207   1 0.067
  2505  189.72  218.85 99.999  9.999 19.138   0   0 9.999  210   0 0.093
  2510  317.25  222.86 99.999  9.999 19.096   0   0 9.999  231   0 0.077
  2515  108.31  225.49 21.533  2.389 19.144   7   0 0.143  156   1 0.083
  2516  198.60  226.55 22.012  2.802 19.211   7   0 0.228  228   1 0.105
  2517  273.00  225.32 99.999  9.999 19.489   0   0 9.999  236   0 0.106
  2523  162.38  232.33 99.999  9.999 19.471   0   0 9.999  225   0 0.113
  2524  322.36  229.15 99.999  9.999 19.387   0   0 9.999  238   1 0.100
  2529  132.27  233.84 22.022  2.864 19.159   6   0 0.345  201   0 0.096
  2531  138.06  235.33 99.999  9.999 19.262   0   0 9.999  202   1 0.119
  2537  308.04  238.69 99.999  9.999 19.143   0   0 9.999  241   0 0.141
  2542  211.75  239.80 99.999  9.999 18.946   0   0 9.999  238   0 0.065
  2545  181.65  240.06 22.116  3.118 18.998   7   0 0.438  231   0 0.077
  2549  201.30  242.72 99.999  9.999 19.117   0   0 9.999  235   0 0.078
  2552   92.52  245.83 99.999  9.999 19.450   0   0 9.999  128   0 0.135
  2566  312.27  251.60 99.999  9.999 19.175   0   0 9.999  247   1 0.213
  2570  274.56  253.26 99.999  9.999 19.584   0   0 9.999  249   0 0.147
  2571  290.80  254.23 99.999  9.999 19.042   0   0 9.999  247   1 0.094
  2573  117.07  255.29 99.999  9.999 19.100   0   0 9.999  184   2 0.073
  2575   90.81  254.65 99.999  9.999 19.802   0   0 9.999  128   1 0.231
  2589  172.00  259.55 22.337  3.169 19.168   5   0 0.412  239   0 0.096
  2597  137.86  264.27 99.999  9.999 19.281   0   0 9.999  213   1 0.084
  2601  317.15  266.31 99.999  9.999 19.667   0   0 9.999  251   3 0.123
  2610  132.22  274.32 99.999  9.999 19.612   0   0 9.999  215   0 0.115
  2612  266.99  275.55 99.999  9.999 19.203   0   0 9.999  256   0 0.093
  2615  310.13  276.57 99.999  9.999 19.513   0   0 9.999  256   1 0.113
  2616  193.16  277.62 99.999  9.999 19.225   0   0 9.999  246   3 0.122
  2625  208.20  281.80 99.999  9.999 19.438   0   0 9.999  252   0 0.110
  2626  283.77  283.53 99.999  9.999 17.929   0   0 9.999  256   0 0.126
  2630  124.70  283.83 99.999  9.999 19.260   0   0 9.999  210   1 0.080
  2635  142.64  288.34 21.441  2.329 19.112   6   1 0.111  226   0 0.070
  2637  280.24  287.95 99.999  9.999 18.428   0   0 9.999  256   0 0.144
  2648  231.06  296.28 99.999  9.999 19.268   0   0 9.999  254   1 0.085
  2657   95.62  302.11 99.999  9.999 19.408   0   0 9.999  142   1 0.105
  2658  317.20  301.28 99.999  9.999 19.484   0   0 9.999  255   1 0.110
  2664  311.08  306.45 21.853  2.662 19.191   6   2 0.118  257   1 0.081
  2666  269.32  307.82 22.517  3.806 18.711   8   0 0.495  258   0 0.055
  2669  168.54  312.20 99.999  9.999 18.796   0   0 9.999  243   2 0.058
  2671  116.29  311.63 99.999  9.999 19.016   0   0 9.999  187   1 0.077
  2673  184.79  312.01 99.999  9.999 19.354   0   0 9.999  246   1 0.090
  2678  172.42  315.42 99.999  9.999 19.561   0   0 9.999  245   1 0.117
  2686  164.89  318.86 99.999  9.999 19.402   0   0 9.999  244   0 0.100
  2689  239.62  318.93 99.999  9.999 19.782   0   0 9.999  255   1 0.141
  2692   94.29  321.18 99.999  9.999 19.608   0   0 9.999  138   1 0.115
  2695  268.24  325.90 99.999  9.999 18.980   0   0 9.999  258   0 0.075
  2696  278.47  323.41 99.999  9.999 19.630   0   0 9.999  256   1 0.138
  2705  101.33  327.48 21.785  2.602 19.183   6   0 0.183  155   0 0.079
  2706  241.97  326.39 99.999  9.999 19.869   0   0 9.999  254   1 0.144
  2712   95.81  329.74 99.999  9.999 19.269   0   0 9.999  142   1 0.075
  2717  197.98  333.10 99.999  9.999 19.785   0   0 9.999  250   2 0.144
  2720  101.26  335.29 99.999  9.999 19.007   0   0 9.999  154   2 0.068
  2741  328.70  343.23 99.999  9.999 19.347   0   0 9.999  259   0 0.104
  2745  145.33  347.74 99.999  9.999 19.395   0   0 9.999  228   2 0.099
