\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "3169"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455376.629140"
\MAXIMUM_DATE                         = "2456219.552660"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "15.1040"
\MAXIMUM_VALUE                        = "17.3621"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "Warsaw University Telescope (1.3 m)"
\INSTRUMENT                           = "32-CCD mosaic camera"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Las Campanas Observatory, Chile"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455407.776010              17.2965                   0.0246
   2455408.576190              17.2822                   0.0232
   2455408.603230              17.3274                   0.0219
   2455408.616460              17.2964                   0.0219
   2455408.629170              17.2764                   0.0219
   2455411.472170              17.2660                   0.0191
   2455411.484740              17.3113                   0.0178
   2455411.497580              17.2702                   0.0178
   2455411.510100              17.2872                   0.0178
   2455411.522660              17.2990                   0.0191
   2455411.557920              17.2990                   0.0178
   2455411.593040              17.3025                   0.0178
   2455411.665710              17.2838                   0.0164
   2455411.701270              17.2832                   0.0178
   2455411.737380              17.2780                   0.0191
   2455411.750100              17.2550                   0.0205
   2455412.508640              17.2975                   0.0219
   2455412.521220              17.2754                   0.0219
   2455412.535430              17.2565                   0.0205
   2455412.548110              17.2710                   0.0205
   2455412.561130              17.2967                   0.0219
   2455412.574640              17.2810                   0.0246
   2455412.588290              17.2671                   0.0232
   2455412.601180              17.2500                   0.0232
   2455412.626690              17.2792                   0.0205
   2455412.639400              17.2842                   0.0219
   2455412.682610              17.2751                   0.0219
   2455412.756810              17.3101                   0.0232
   2455413.488150              17.2762                   0.0232
   2455413.502380              17.3070                   0.0191
   2455413.515020              17.2845                   0.0191
   2455413.550410              17.2497                   0.0191
   2455413.586370              17.2922                   0.0191
   2455413.621870              17.2723                   0.0178
   2455413.657430              17.2759                   0.0164
   2455413.694230              17.2862                   0.0178
   2455413.729360              17.2890                   0.0191
   2455413.741860              17.2664                   0.0178
   2455413.754590              17.2803                   0.0205
   2455414.470150              17.2726                   0.0219
   2455414.482830              17.2776                   0.0205
   2455414.495320              17.2855                   0.0178
   2455414.507890              17.2700                   0.0178
   2455414.520600              17.2839                   0.0178
   2455414.556560              17.2874                   0.0178
   2455414.593130              17.2928                   0.0178
   2455414.629280              17.3070                   0.0164
   2455414.666020              17.2909                   0.0178
   2455414.703040              17.2907                   0.0178
   2455414.741160              17.2566                   0.0178
   2455414.753690              17.2787                   0.0164
   2455414.766570              17.3158                   0.0178
   2455416.599460              17.3077                   0.0232
   2455416.627650              17.3047                   0.0219
   2455416.645410              17.3034                   0.0219
   2455416.669060              17.2947                   0.0219
   2455416.682790              17.2991                   0.0205
   2455416.708190              17.2814                   0.0219
   2455418.531360              17.3151                   0.0178
   2455418.544890              17.2815                   0.0164
   2455418.563980              17.2846                   0.0164
   2455418.577860              17.2868                   0.0178
   2455418.594970              17.3182                   0.0178
   2455418.608240              17.2911                   0.0151
   2455418.628040              17.2476                   0.0178
   2455418.645110              17.2830                   0.0164
   2455418.663270              17.2795                   0.0191
   2455418.679590              17.2677                   0.0205
   2455418.694510              17.3156                   0.0219
   2455418.709880              17.3044                   0.0205
   2455421.486810              17.3188                   0.0219
   2455421.503030              17.2431                   0.0219
   2455421.516800              17.2780                   0.0205
   2455421.530900              17.2645                   0.0205
   2455421.545680              17.3028                   0.0205
   2455421.562750              17.2883                   0.0191
   2455421.576120              17.2800                   0.0191
   2455421.590500              17.2904                   0.0205
   2455421.607490              17.2852                   0.0191
   2455421.622160              17.2929                   0.0191
   2455421.636680              17.2556                   0.0191
   2455421.650450              17.2944                   0.0205
   2455421.664990              17.2938                   0.0191
   2455421.678970              17.2786                   0.0205
   2455421.692870              17.3092                   0.0219
   2455421.710760              17.2725                   0.0205
   2455421.723390              17.2840                   0.0191
   2455422.487080              17.2730                   0.0232
   2455422.499900              17.2837                   0.0219
   2455422.512690              17.3164                   0.0205
   2455422.527830              17.2967                   0.0191
   2455422.544020              17.2819                   0.0178
   2455422.558760              17.3032                   0.0205
   2455422.626320              17.2942                   0.0178
   2455422.667890              17.3148                   0.0178
   2455422.712760              17.2840                   0.0191
   2455422.754100              17.2946                   0.0205
   2455423.481680              17.2872                   0.0178
   2455423.496660              17.2940                   0.0178
   2455423.510400              17.2717                   0.0178
   2455423.523570              17.2796                   0.0178
   2455423.538990              17.2890                   0.0178
   2455423.581970              17.3024                   0.0191
   2455423.628320              17.2817                   0.0205
   2455423.672680              17.3162                   0.0205
   2455423.689870              17.2962                   0.0219
   2455425.490610              17.2783                   0.0191
   2455425.504080              17.3046                   0.0205
   2455425.518750              17.2878                   0.0178
   2455425.531770              17.2789                   0.0191
   2455425.545410              17.3119                   0.0191
   2455426.485420              17.2987                   0.0332
   2455426.499040              17.2532                   0.0346
   2455426.512070              17.3144                   0.0332
   2455426.524860              17.2520                   0.0332
   2455426.538100              17.2815                   0.0332
   2455430.484960              17.3073                   0.0275
   2455430.497630              17.3159                   0.0275
   2455430.510880              17.3046                   0.0260
   2455430.524840              17.3078                   0.0246
   2455430.544080              17.2764                   0.0232
   2455430.556970              17.2629                   0.0246
   2455430.569650              17.2586                   0.0246
   2455430.582370              17.2964                   0.0232
   2455430.595010              17.3059                   0.0232
   2455430.608830              17.3178                   0.0246
   2455430.621330              17.2533                   0.0232
   2455430.634030              17.2789                   0.0260
   2455430.646830              17.2918                   0.0246
   2455430.662500              17.2801                   0.0275
   2455431.473020              17.2846                   0.0289
   2455431.486000              17.2808                   0.0232
   2455431.498690              17.2918                   0.0232
   2455431.511780              17.2586                   0.0205
   2455431.525460              17.2762                   0.0205
   2455431.539360              17.2863                   0.0205
   2455431.552040              17.2845                   0.0205
   2455431.564760              17.2916                   0.0232
   2455431.577370              17.3204                   0.0219
   2455431.589810              17.3027                   0.0205
   2455431.606280              17.2820                   0.0219
   2455431.618730              17.2826                   0.0260
   2455431.631260              17.2982                   0.0260
   2455431.643870              17.2598                   0.0246
   2455431.656420              17.2796                   0.0260
   2455431.670430              17.2752                   0.0275
   2455431.684810              17.2581                   0.0275
   2455432.522740              17.3112                   0.0346
   2455432.621840              17.2484                   0.0260
   2455432.635820              17.2578                   0.0275
   2455432.648420              17.2963                   0.0275
   2455433.626780              17.2924                   0.0246
   2455433.659090              17.2840                   0.0360
   2455433.672320              17.3122                   0.0260
   2455433.684760              17.2390                   0.0232
   2455434.484800              17.3214                   0.0260
   2455434.502370              17.2968                   0.0260
