\STAR_ID                              = "MOA-bin-001L"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h51m10.20s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-29d47m38.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "7232"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2453824.091490"
\MAXIMUM_DATE                         = "2454413.892660"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Bennett et al. 2012"
\BIBCODES                             = "2012ApJ...757..119B"
\TELESCOPE                            = "MOA-II Telescope (1.8 m)"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "I+R"
\OBSERVATORY_SITE                     = "Mt. John Observatory, NZ"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COMMENT                              = "none"
|            HJD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY| RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           real|               real|                  real|          real|             real|
|           days|                mag|                   mag|              |                 |
  2453873.031510             11.5117                 0.0587
  2453873.039320             11.3774                 0.0950
  2453873.046450             11.6175                 0.1403
  2453873.053570             11.3104                 0.0642
  2453873.060720             11.6025                 0.1411
  2453873.067850             11.5892                 0.1028
  2453873.076710             11.4746                 0.0763
  2453873.083840             11.7085                 0.1187
  2453873.090960             11.4634                 0.0730
  2453873.098090             11.9628                 0.2165
  2453873.105220             11.4645                 0.1540
  2453873.112370             11.2036                 0.1292
  2453873.119500             11.4152                 0.2090
  2453873.126620             11.3097                 0.1968
  2453873.133750             11.4459                 0.1125
  2453873.140870             11.5828                 0.0991
  2453873.148380             11.3970                 0.0662
  2453873.156750             11.4842                 0.0892
  2453873.163890             11.5329                 0.0665
  2453873.171030             11.4654                 0.0917
  2453873.178160             11.5207                 0.1782
  2453873.195250             11.4036                 0.1156
  2453873.202370             11.3565                 0.1083
  2453873.209500             11.4948                 0.1482
  2453873.240790             11.4490                 0.1654
  2453873.247910             11.2891                 0.1940
  2453873.262160             11.8016                 0.3007
  2453873.276410             11.3480                 0.2102
  2453873.906370             11.5353                 0.0809
  2453873.913520             11.5627                 0.1058
  2453873.920680             11.5635                 0.0631
  2453873.927830             11.4531                 0.0517
  2453873.951940             11.5828                 0.0933
