# Name          Type     to          uo       tE     rho      log_s   log_q   alpha   f_source  g_blending to-time_anomaly 
# 
WFIRST_0058.dat GLPlanet 2460963.228 0.440160 22.740 0.009930 0.15052 -3.92052 -2.46971 37.22710 0.000 -12.585
WFIRST_1274.dat GLPlanet 2460946.895 0.031201 16.611 0.005037 0.27163 -3.98188 -0.02339 1120.59863 0.000 22.154
WFIRST_0883.dat GLPlanet 2460967.325 0.473943 47.223 0.007314 0.11251 -3.24236 -2.01116 324.31738 0.000 -10.547
WFIRST_0627.dat GLPlanet 2460959.416 0.055901 22.011 0.001795 0.21197 -3.38969 -3.08651 1081.20681 0.000 -22.316
WFIRST_0836.dat GLPlanet 2460954.018 0.081203 37.418 0.000961 0.10810 -3.67663 -2.97944 130.44519 0.000 -18.573
WFIRST_1827.dat GLPlanet 2460963.670 0.453093 24.305 0.007194 0.19828 -3.23683 -0.49995 1229.96708 0.000 20.160
WFIRST_0067.dat GLPlanet 2460958.956 0.287120 15.865 0.000833 0.19332 -3.15560 -2.82419 40.37092 0.000 -13.866
WFIRST_0775.dat GLPlanet 2460942.728 0.113096 25.366 0.003437 0.11933 -3.79644 -0.20466 49.75629 0.000 13.821
WFIRST_1277.dat GLPlanet 2460951.243 0.130022 33.819 0.005219 0.16643 -3.81095 -2.97526 2543.56403 0.000 -26.192
WFIRST_1054.dat GLPlanet 2460948.954 0.240246 16.026 0.005937 0.25553 -3.44931 -0.19405 1914.92406 0.000 19.591
WFIRST_2398.dat GLPlanet 2460956.144 0.073398 42.323 0.002455 0.10318 -3.64226 -0.15363 4898.14336 0.000 20.062
WFIRST_1259.dat GLPlanet 2460955.060 0.483499 40.900 0.007114 0.12144 -3.90990 -2.11919 106.93852 0.000 -12.081
WFIRST_1599.dat GLPlanet 2460940.706 0.069429 8.687 0.007809 0.30548 -3.40923 -3.09607 1314.71480 0.000 -13.240
WFIRST_2011.dat GLPlanet 2460954.811 0.266715 25.918 0.000301 0.12623 -3.94660 -2.67213 51.69341 0.000 -13.627
WFIRST_0201.dat NCPlanet 2460971.478 0.197665 15.790 0.005858 0.14649 -3.59356 -0.27831 3739.67441 0.000 10.438
WFIRST_2225.dat NCPlanet 2460960.805 0.349125 59.296 0.005754 0.08763 -3.93426 -2.14797 2142.79006 0.000 -13.146
WFIRST_0372.dat NCPlanet 2460960.034 0.311119 11.389 0.009431 0.27763 -3.01957 -2.92267 26.46450 0.000 -15.202
WFIRST_1860.dat NCPlanet 2460952.113 0.479578 11.408 0.005191 0.25687 -3.75627 -0.38600 62.36463 0.000 13.244
WFIRST_2364.dat NCPlanet 2460952.278 0.123465 30.114 0.001778 0.11711 -3.92713 -0.22315 393.96701 0.000 16.030
WFIRST_1492.dat HMPlanet 2460957.348 0.000451 60.973 0.000259 0.69597 -3.06130 -0.30032 1137.67626 0.000 0.000
WFIRST_0817.dat HMPlanet 2460941.470 0.000697 12.857 0.000633 0.28707 -3.06020 2.14338 41.66531 0.000 0.000
WFIRST_1920.dat HMPlanet 2460966.943 0.000951 82.473 0.003432 0.17078 -3.81838 1.67359 812.73760 0.000 0.000
WFIRST_1561.dat HMPlanet 2460955.577 0.000065 23.261 0.000233 0.18293 -3.58508 0.53093 262.61547 0.000 0.000
WFIRST_2486.dat HMPlanet 2460956.381 0.000094 63.713 0.000033 0.26915 -3.43528 1.89603 102.21959 0.000 0.000
