 20545   70.27 2057.60 19.402  2.234 17.168  51   0 0.052 2479   3 0.022
 20546  144.65 2059.98 19.047  2.048 16.999  84   1 0.031 5295   6 0.020
 20549  315.55 2066.13 18.763  1.943 16.819  88   1 0.027 6124  10 0.017
 20553  205.73 2072.98 19.909  2.588 17.321  90   0 0.089 5951   6 0.032
 20554  271.16 2076.88 19.180  1.687 17.493  89   0 0.038 6118   4 0.027
 20556  180.04 2078.31 18.393  1.238 17.155  90   0 0.029 5709  17 0.033
 20559  121.75 2082.12 99.999  9.999 16.281   0   0 9.999 4995   0 0.079
 20561   55.58 2088.28 18.640  1.424 17.215  39   0 0.030 1810   5 0.021
 20562   76.71 2088.19 19.312  1.520 17.792  55   0 0.045 2956   3 0.052
 20563  103.81 2089.26 18.650  1.197 17.453  77   0 0.028 4543  10 0.029
 20564  305.12 2090.64 18.613  1.527 17.086  90   0 0.026 6120  12 0.030
 20566   82.32 2092.76 99.999  9.999 16.805   0   0 9.999 3433   7 0.024
 20567  279.39 2093.30 18.251  1.325 16.926  90   0 0.019 6119  12 0.017
 20569   85.22 2095.92 99.999  9.999 17.282   0   0 9.999 3730   6 0.039
 20570  238.54 2097.84 18.246  1.258 16.987  90   0 0.020 6087  10 0.018
 20572  104.72 2104.82 19.549  2.192 17.357  77   0 0.070 4573   4 0.029
 20573  101.48 2099.87 99.999  9.999 16.949   0   0 9.999 4485   3 0.042
 20574  136.85 2107.11 18.555  1.622 16.934  85   0 0.026 5203   5 0.020
 20576  297.74 2109.60 18.919  1.002 17.916  90   0 0.029 6099  20 0.076
 20581  213.91 2113.90 18.460  1.192 17.267  90   0 0.023 6006   9 0.024
 20583  146.75 2116.83 19.142  1.766 17.376  86   0 0.038 5322   2 0.031
 20585  145.06 2126.72 19.335  2.015 17.319  84   1 0.038 5293   7 0.028
 20586  228.86 2131.69 18.830  1.404 17.426  89   0 0.032 6059  16 0.038
 20588  323.88 2134.50 18.686  1.855 16.831  90   0 0.028 6120  15 0.017
 20589   44.02 2133.46 99.999  9.999 17.159   0   0 9.999 1421   2 0.074
 20590  215.02 2139.31 18.813  1.489 17.325  90   0 0.033 5959  58 0.033
 20591  267.27 2141.70 19.240  2.224 17.015  89   0 0.046 6108  13 0.018
 20592  252.53 2143.10 18.798  1.972 16.826  89   0 0.032 6105  11 0.017
 20593  122.63 2145.79 19.110  1.799 17.311  81   0 0.043 5006   4 0.024
 20594  278.13 2149.29 99.999  9.999 17.439   0   0 9.999 6117  10 0.027
 20595  163.82 2149.64 19.412  1.907 17.505  89   0 0.065 5527  18 0.048
 20596   22.82 2153.76 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 20597   59.26 2154.35 99.999  9.999 17.588   0   0 9.999 1942   1 0.063
 20598  297.76 2152.47 19.047  1.447 17.599  88   1 0.032 6118   9 0.030
 20599  105.10 2154.86 18.671  1.273 17.398  76   0 0.021 4568   3 0.025
 20600  314.08 2161.03 18.816  1.536 17.280  90   0 0.029 6126   9 0.023
 20601  326.50 2161.07 18.272  1.300 16.972  90   0 0.116 6137   0 0.121
 20602  331.65 2162.74 19.007  1.942 17.064  89   0 0.074 6132   3 0.040
 20604   82.35 2165.47 18.764  1.852 16.912  58   0 0.029 3513   5 0.018
 20605  342.80 2166.04 18.897  1.854 17.043  89   0 0.037 6132   4 0.020
 20607  203.12 2167.19 18.880  1.878 17.002  90   0 0.035 5919  16 0.020
 20608   85.95 2167.11 19.133  1.900 17.233  59   0 0.036 3730   3 0.023
 20609  274.33 2168.43 18.790  1.868 16.922  89   0 0.030 6117   9 0.017
 20610  257.44 2168.54 99.999  9.999 17.649   0   0 9.999 6110   8 0.033
 20611   48.52 2170.55 18.844  1.525 17.319  35   0 0.166 1569   6 0.056
 20612  198.85 2170.85 18.750  1.538 17.211  90   0 0.026 5881  11 0.026
