131394 1415.04 1266.59 18.393  1.717 16.676  90   0 0.021 6123  15 0.014
131395 1469.64 1266.60 18.467  1.705 16.762  89   1 0.021 6124  13 0.015
131396 1612.87 1267.55 17.141  1.058 16.083  89   1 0.010 6126  11 0.010
131398 1493.41 1270.28 18.348  1.522 16.826  90   0 0.019 6132   6 0.016
131403 1630.37 1284.66 17.890  1.764 16.125  90   0 0.017 6125  12 0.011
131404 1443.68 1290.50 18.324  1.576 16.748  90   0 0.020 6132   7 0.015
131406 1521.11 1294.14 17.919  1.310 16.610  90   0 0.013 6122  13 0.013
131407 1620.17 1295.94 17.969  1.627 16.343  89   1 0.017 6118  18 0.012
131408 1598.06 1296.68 18.043  1.780 16.263  90   0 0.016 6128  11 0.010
131409 1605.74 1299.77 18.518  1.685 16.834  89   0 0.027 6119  15 0.017
131410 1612.30 1301.21 17.561  1.151 16.410  90   0 0.012 6123  14 0.012
131420 1614.19 1328.14 17.580  1.127 16.453  89   1 0.013 6125  12 0.014
131421 1631.48 1330.40 17.472  1.156 16.316  90   0 0.011 6125  12 0.012
131423 1498.49 1333.24 17.805  1.276 16.529  90   0 0.014 6125  13 0.013
131425 1423.29 1334.93 18.587  1.806 16.780  90   0 0.034 6129  10 0.019
131426 1644.73 1340.92 18.015  1.654 16.361  90   0 0.016 6126   9 0.013
131427 1468.58 1342.09 17.249  1.233 16.016  90   0 0.009 6124  15 0.009
131429 1466.00 1348.67 17.638  1.255 16.384  90   0 0.013 6125  14 0.013
131430 1641.71 1351.05 17.574  1.246 16.328  90   0 0.015 6125  11 0.013
131432 1583.05 1357.75 18.386  1.921 16.465  90   0 0.024 6125  14 0.015
131434 1449.33 1361.23 17.884  1.347 16.537  90   0 0.015 6127  11 0.014
131435 1591.55 1361.14 18.057  1.622 16.435  89   1 0.021 6126  13 0.012
131437 1437.73 1365.36 17.913  1.257 16.656  90   0 0.016 6127  12 0.015
131439 1573.49 1372.34 17.331  1.217 16.114  90   0 0.010 6130   9 0.010
131443 1588.92 1379.00 17.946  1.133 16.813  90   0 0.014 6134   4 0.017
131445 1621.03 1385.38 18.273  1.652 16.621  90   0 0.022 6123  14 0.015
131446 1608.00 1389.25 18.479  1.751 16.728  90   0 0.025 6130   7 0.015
131449 1423.36 1394.82 17.685  1.269 16.416  90   0 0.014 6130   8 0.012
131450 1458.67 1397.43 17.931  1.354 16.577  90   0 0.018 6127  10 0.013
131451 1570.73 1398.42 17.344  1.302 16.042  90   0 0.010 6133   6 0.010
131452 1467.91 1398.97 17.662  1.473 16.189  90   0 0.012 6129  10 0.010
131453 1504.28 1400.16 17.998  1.539 16.458  90   0 0.015 6127  12 0.012
131454 1561.99 1399.29 18.419  1.605 16.814  88   1 0.025 6133   5 0.017
131464 1539.15 1418.63 18.594  1.753 16.841  89   0 0.029 6132   6 0.018
131466 1633.28 1424.79 17.310  1.202 16.108  90   0 0.010 6118  16 0.010
131469 1500.23 1438.22 17.963  1.684 16.279  90   0 0.021 6123  16 0.020
131471 1505.66 1439.45 18.508  1.940 16.568  90   0 0.037 6135   4 0.043
131472 1549.38 1443.58 18.017  1.930 16.087  90   0 0.016 6129  10 0.015
131473 1590.03 1444.49 17.443  1.185 16.258  90   0 0.013 6129  10 0.018
131474 1449.39 1451.44 18.353  1.889 16.464  89   1 0.019 6131   8 0.012
131481 1490.24 1476.64 17.362  1.223 16.140  90   0 0.009 6126  13 0.010
131482 1404.58 1477.94 18.219  1.661 16.558  90   0 0.018 6130   9 0.013
131484 1644.39 1487.29 17.593  0.990 16.603  90   0 0.014 6120  14 0.015
131485 1470.67 1494.39 17.446  1.216 16.230  90   0 0.010 6127  12 0.010
131486 1575.88 1493.01 18.532  1.722 16.811  89   1 0.028 6122  14 0.019
131487 1581.69 1493.22 17.950  1.287 16.663  90   0 0.017 6128   9 0.015
131491 1521.07 1498.31 18.109  1.052 17.056  88   2 0.023 6040  99 0.040
131493 1587.94 1507.74 18.423  2.020 16.402  90   0 0.030 6132   6 0.019
131502 1649.70 1536.30 18.261  1.793 16.468  90   0 0.020 6124  10 0.016
131504 1620.68 1536.96 18.001  1.171 16.829  90   0 0.015 6127   9 0.018
131505 1466.88 1539.54 17.230  1.228 16.002  90   0 0.013 6132   7 0.011
131507 1557.63 1544.51 17.789  1.401 16.388  90   0 0.016 6126  13 0.013
131508 1436.60 1547.94 17.315  0.739 16.576  90   0 0.010 6126  13 0.017
131512 1520.07 1552.38 18.692  1.380 17.312  90   0 0.032 6124  14 0.034
131513 1519.15 1556.25 18.328  1.729 16.599  90   0 0.035 6134   5 0.047
131518 1576.62 1575.74 17.916  1.237 16.679  90   0 0.015 6133   4 0.015
131519 1620.21 1576.59 18.488  1.869 16.619  90   0 0.025 6125  12 0.014
131520 1465.37 1585.29 17.791  1.654 16.137  90   0 0.013 6121  18 0.011
