142018 2020.24 2652.20 18.381  2.577 15.804  22   0 0.020  415   1 0.007
142020 1840.49 2669.76 18.553  2.534 16.019  21   0 0.020  417   0 0.008
142021 2064.36 2672.01 18.584  2.547 16.037  20   1 0.021  411   1 0.008
142022 2077.37 2680.66 18.341  2.475 15.866  22   0 0.016  410   0 0.008
142024 2119.66 2686.62 17.474  1.678 15.797  22   0 0.015  399   1 0.012
142025 2127.10 2692.36 18.585  2.576 16.009  21   0 0.021  398   0 0.009
142026 2175.34 2694.99 18.321  2.505 15.816  20   0 0.016  366   0 0.007
142027 1924.75 2702.79 18.349  2.335 16.015  21   0 0.015  416   1 0.008
142028 2108.28 2707.25 18.209  2.521 15.688  22   0 0.013  405   1 0.008
142029 1785.59 2710.02 18.309  2.501 15.807  22   0 0.013  417   1 0.007
142030 1778.70 2725.14 18.176  2.656 15.520  22   0 0.020  418   0 0.005
142031 1786.19 2728.57 18.563  2.443 16.120  20   1 0.021  417   0 0.009
142033 1766.28 2734.03 17.755  2.391 15.364  22   0 0.011  416   1 0.005
142034 2174.62 2733.20 18.772  2.566 16.206  20   0 0.023  363   2 0.009
142035 1963.31 2735.43 17.927  2.290 15.637  22   0 0.009  416   1 0.007
142036 1958.08 2737.32 18.420  2.619 15.801  22   0 0.016  417   0 0.009
142038 2024.44 2738.04 18.115  2.266 15.849  21   1 0.013  415   1 0.008
142040 2138.47 2741.94 18.734  2.602 16.132  21   0 0.019  395   1 0.009
142041 1937.10 2751.69 18.505  2.605 15.900  21   0 0.020  418   0 0.007
142042 2186.40 2751.95 18.152  2.485 15.667  19   0 0.016  352   0 0.007
142043 1976.95 2752.26 18.360  2.431 15.929  21   0 0.010  416   1 0.008
142044 2161.61 2755.50 18.361  2.420 15.941  22   0 0.019  382   1 0.008
142046 1931.06 2759.69 18.720  2.620 16.101  21   0 0.027  417   0 0.008
142047 2105.97 2760.71 19.020  3.184 15.836  20   0 0.028  404   2 0.009
142048 2174.63 2762.47 17.122  1.673 15.448  21   0 0.012  369   0 0.008
142049 2177.96 2771.61 18.935  2.682 16.253  20   0 0.035  364   1 0.011
142051 2105.56 2777.57 18.712  2.590 16.122  21   0 0.026  408   0 0.010
142052 1779.03 2781.21 18.371  2.419 15.953  21   0 0.018  416   2 0.007
142053 2085.42 2781.46 18.744  2.535 16.208  21   0 0.017  409   0 0.011
142054 2074.98 2782.25 18.423  2.523 15.900  21   0 0.018  409   2 0.008
142055 1834.70 2784.91 18.323  2.325 15.999  21   0 0.010  416   1 0.008
142056 2036.60 2784.39 18.662  2.468 16.194  20   0 0.017  415   1 0.009
142057 1879.05 2788.72 17.192  1.614 15.578  21   1 0.007  417   1 0.006
142062 2018.56 2339.90 18.860  2.545 16.315  22   0 0.021  415   0 0.012
142063 2137.15 2387.79 19.144  2.163 16.981  21   0 0.030  396   0 0.023
142065 2086.41 2778.39 20.101  2.480 17.621  21   0 0.080  409   0 0.035
